state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code,method,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
06,019,0008,42600,3,36.781333,-119.77319,WGS84,Reactive oxides of nitrogen (NOy),1,1 HOUR,,2012-01-01,Parts per billion,No Events,24,100.0,Y,78.691667,164.9,21,,699,Instrumental - Chemiluminescence Teledyne API 200 EU/501,"3425 N FIRST ST, FRESNO","3425 N FIRST ST, FRESNO",California,Fresno,Fresno,23420,"Fresno, CA",2015-03-05
06,019,0008,42600,3,36.781333,-119.77319,WGS84,Reactive oxides of nitrogen (NOy),1,1 HOUR,,2012-01-02,Parts per billion,No Events,23,96.0,Y,45.417391,90.5,8,,699,Instrumental - Chemiluminescence Teledyne API 200 EU/501,"3425 N FIRST ST, FRESNO","3425 N FIRST ST, FRESNO",California,Fresno,Fresno,23420,"Fresno, CA",2015-03-05
06,019,0008,42600,3,36.781333,-119.77319,WGS84,Reactive oxides of nitrogen (NOy),1,1 HOUR,,2012-01-03,Parts per billion,No Events,24,100.0,Y,63.7375,149.4,23,,699,Instrumental - Chemiluminescence Teledyne API 200 EU/501,"3425 N FIRST ST, FRESNO","3425 N FIRST ST, FRESNO",California,Fresno,Fresno,23420,"Fresno, CA",2015-03-05
06,019,0008,42600,3,36.781333,-119.77319,WGS84,Reactive oxides of nitrogen (NOy),1,1 HOUR,,2012-01-04,Parts per billion,No Events,23,96.0,Y,67.221739,180.9,0,,699,Instrumental - Chemiluminescence Teledyne API 200 EU/501,"3425 N FIRST ST, FRESNO","3425 N FIRST ST, FRESNO",California,Fresno,Fresno,23420,"Fresno, CA",2015-03-05
06,019,0008,42600,3,36.781333,-119.77319,WGS84,Reactive oxides of nitrogen (NOy),1,1 HOUR,,2012-01-05,Parts per billion,No Events,24,100.0,Y,70.654167,123.7,22,,699,Instrumental - Chemiluminescence Teledyne API 200 EU/501,"3425 N FIRST ST, FRESNO","3425 N FIRST ST, FRESNO",California,Fresno,Fresno,23420,"Fresno, CA",2015-03-05
06,019,0008,42600,3,36.781333,-119.77319,WGS84,Reactive oxides of nitrogen (NOy),1,1 HOUR,,2012-01-06,Parts per billion,No Events,24,100.0,Y,51.541667,115.6,8,,699,Instrumental - Chemiluminescence Teledyne API 200 EU/501,"3425 N FIRST ST, FRESNO","3425 N FIRST ST, FRESNO",California,Fresno,Fresno,23420,"Fresno, CA",2015-03-05
06,019,0008,42600,3,36.781333,-119.77319,WGS84,Reactive oxides of nitrogen (NOy),1,1 HOUR,,2012-01-07,Parts per billion,No Events,23,96.0,Y,52.047826,104.8,22,,699,Instrumental - Chemiluminescence Teledyne API 200 EU/501,"3425 N FIRST ST, FRESNO","3425 N FIRST ST, FRESNO",California,Fresno,Fresno,23420,"Fresno, CA",2015-03-05
06,019,0008,42600,3,36.781333,-119.77319,WGS84,Reactive oxides of nitrogen (NOy),1,1 HOUR,,2012-01-08,Parts per billion,No Events,24,100.0,Y,56.870833,104.2,1,,699,Instrumental - Chemiluminescence Teledyne API 200 EU/501,"3425 N FIRST ST, FRESNO","3425 N FIRST ST, FRESNO",California,Fresno,Fresno,23420,"Fresno, CA",2015-03-05
06,019,0008,42600,3,36.781333,-119.77319,WGS84,Reactive oxides of nitrogen (NOy),1,1 HOUR,,2012-01-09,Parts per billion,No Events,23,96.0,Y,68.647826,155.6,22,,699,Instrumental - Chemiluminescence Teledyne API 200 EU/501,"3425 N FIRST ST, FRESNO","3425 N FIRST ST, FRESNO",California,Fresno,Fresno,23420,"Fresno, CA",2015-03-05
06,019,0008,42600,3,36.781333,-119.77319,WGS84,Reactive oxides of nitrogen (NOy),1,1 HOUR,,2012-01-10,Parts per billion,No Events,24,100.0,Y,57.341667,103.8,0,,699,Instrumental - Chemiluminescence Teledyne API 200 EU/501,"3425 N FIRST ST, FRESNO","3425 N FIRST ST, FRESNO",California,Fresno,Fresno,23420,"Fresno, CA",2015-03-05
06,019,0008,42600,3,36.781333,-119.77319,WGS84,Reactive oxides of nitrogen (NOy),1,1 HOUR,,2012-01-11,Parts per billion,No Events,23,96.0,Y,81.430435,172.8,18,,699,Instrumental - Chemiluminescence Teledyne API 200 EU/501,"3425 N FIRST ST, FRESNO","3425 N FIRST ST, FRESNO",California,Fresno,Fresno,23420,"Fresno, CA",2015-03-05
06,019,0008,42600,3,36.781333,-119.77319,WGS84,Reactive oxides of nitrogen (NOy),1,1 HOUR,,2012-01-12,Parts per billion,No Events,13,54.0,N,84.569231,160.4,8,,699,Instrumental - Chemiluminescence Teledyne API 200 EU/501,"3425 N FIRST ST, FRESNO","3425 N FIRST ST, FRESNO",California,Fresno,Fresno,23420,"Fresno, CA",2015-03-05
06,019,0008,42600,3,36.781333,-119.77319,WGS84,Reactive oxides of nitrogen (NOy),1,1 HOUR,,2012-02-01,Parts per billion,No Events,7,29.0,N,22.771429,44.5,6,,699,Instrumental - Chemiluminescence Teledyne API 200 EU/501,"3425 N FIRST ST, FRESNO","3425 N FIRST ST, FRESNO",California,Fresno,Fresno,23420,"Fresno, CA",2015-03-05
06,019,0011,42600,3,36.78538,-119.77321,NAD83,Reactive oxides of nitrogen (NOy),1,1 HOUR,,2012-01-18,Parts per billion,No Events,8,33.0,N,102.8625,231.9,21,,699,Instrumental - Chemiluminescence Teledyne API 200 EU/501,Fresno - Garland,"3727 N FIRST ST, FRESNO",California,Fresno,Fresno,23420,"Fresno, CA",2015-03-05
06,019,0011,42600,3,36.78538,-119.77321,NAD83,Reactive oxides of nitrogen (NOy),1,1 HOUR,,2012-01-19,Parts per billion,No Events,24,100.0,Y,73.7125,282.2,7,,699,Instrumental - Chemiluminescence Teledyne API 200 EU/501,Fresno - Garland,"3727 N FIRST ST, FRESNO",California,Fresno,Fresno,23420,"Fresno, CA",2015-03-05
06,019,0011,42600,3,36.78538,-119.77321,NAD83,Reactive oxides of nitrogen (NOy),1,1 HOUR,,2012-01-20,Parts per billion,No Events,24,100.0,Y,14.075,93.1,10,,699,Instrumental - Chemiluminescence Teledyne API 200 EU/501,Fresno - Garland,"3727 N FIRST ST, FRESNO",California,Fresno,Fresno,23420,"Fresno, CA",2015-03-05
06,019,0011,42600,3,36.78538,-119.77321,NAD83,Reactive oxides of nitrogen (NOy),1,1 HOUR,,2012-01-21,Parts per billion,No Events,24,100.0,Y,9.458333,60.1,22,,699,Instrumental - Chemiluminescence Teledyne API 200 EU/501,Fresno - Garland,"3727 N FIRST ST, FRESNO",California,Fresno,Fresno,23420,"Fresno, CA",2015-03-05
06,019,0011,42600,3,36.78538,-119.77321,NAD83,Reactive oxides of nitrogen (NOy),1,1 HOUR,,2012-01-22,Parts per billion,No Events,24,100.0,Y,4.270833,8.6,23,,699,Instrumental - Chemiluminescence Teledyne API 200 EU/501,Fresno - Garland,"3727 N FIRST ST, FRESNO",California,Fresno,Fresno,23420,"Fresno, CA",2015-03-05
06,019,0011,42600,3,36.78538,-119.77321,NAD83,Reactive oxides of nitrogen (NOy),1,1 HOUR,,2012-01-23,Parts per billion,No Events,24,100.0,Y,2.516667,7.0,10,,699,Instrumental - Chemiluminescence Teledyne API 200 EU/501,Fresno - Garland,"3727 N FIRST ST, FRESNO",California,Fresno,Fresno,23420,"Fresno, CA",2015-03-05
