"","County","State","Year","Population","Unit","Multiplier"
"1","Alameda","CA",2013,1584620,"Number of persons",0
"2","Alameda","CA",2014,1614447,"Number of persons",0
"3","Alameda","CA",2015,1642880,"Number of persons",0
"4","Alameda","CA",2004,1445721,"Number of persons",0
"5","Alameda","CA",2005,1441545,"Number of persons",0
"6","Alameda","CA",2006,1444484,"Number of persons",0
"7","Alameda","CA",2007,1455715,"Number of persons",0
"8","Alameda","CA",2008,1477208,"Number of persons",0
"9","Alameda","CA",2009,1498539,"Number of persons",0
"10","Alameda","CA",2010,1513371,"Number of persons",0
"11","Alameda","CA",2011,1532793,"Number of persons",0
"12","Alameda","CA",2012,1557209,"Number of persons",0
"13","Alpine","CA",2004,1263,"Number of persons",0
"14","Alpine","CA",2005,1219,"Number of persons",0
"15","Alpine","CA",2006,1276,"Number of persons",0
"16","Alpine","CA",2007,1274,"Number of persons",0
"17","Alpine","CA",2008,1202,"Number of persons",0
"18","Alpine","CA",2009,1197,"Number of persons",0
"19","Alpine","CA",2010,1163,"Number of persons",0
"20","Alpine","CA",2011,1102,"Number of persons",0
"21","Alpine","CA",2012,1128,"Number of persons",0
"22","Alpine","CA",2013,1156,"Number of persons",0
"23","Alpine","CA",2014,1114,"Number of persons",0
"24","Alpine","CA",2015,1118,"Number of persons",0
"25","Amador","CA",2004,37400,"Number of persons",0
"26","Amador","CA",2005,38040,"Number of persons",0
"27","Amador","CA",2006,38353,"Number of persons",0
"28","Amador","CA",2007,38756,"Number of persons",0
"29","Amador","CA",2008,38248,"Number of persons",0
"30","Amador","CA",2009,38238,"Number of persons",0
"31","Amador","CA",2010,37893,"Number of persons",0
"32","Amador","CA",2011,37590,"Number of persons",0
"33","Amador","CA",2012,37196,"Number of persons",0
"34","Amador","CA",2013,36753,"Number of persons",0
"35","Amador","CA",2014,36903,"Number of persons",0
"36","Amador","CA",2015,37250,"Number of persons",0
"37","Butte","CA",2014,222335,"Number of persons",0
"38","Butte","CA",2013,220746,"Number of persons",0
"39","Butte","CA",2012,220253,"Number of persons",0
"40","Butte","CA",2011,219638,"Number of persons",0
"41","Butte","CA",2010,219882,"Number of persons",0
"42","Butte","CA",2009,219777,"Number of persons",0
"43","Butte","CA",2008,219034,"Number of persons",0
"44","Butte","CA",2007,217469,"Number of persons",0
"45","Butte","CA",2006,216824,"Number of persons",0
"46","Butte","CA",2005,214752,"Number of persons",0
"47","Butte","CA",2004,213065,"Number of persons",0
"48","Butte","CA",2015,223167,"Number of persons",0
"49","Calaveras","CA",2004,44530,"Number of persons",0
"50","Calaveras","CA",2005,45295,"Number of persons",0
"51","Calaveras","CA",2006,46045,"Number of persons",0
"52","Calaveras","CA",2007,46268,"Number of persons",0
"53","Calaveras","CA",2008,46265,"Number of persons",0
"54","Calaveras","CA",2009,45900,"Number of persons",0
"55","Calaveras","CA",2010,45443,"Number of persons",0
"56","Calaveras","CA",2011,45039,"Number of persons",0
"57","Calaveras","CA",2012,44603,"Number of persons",0
"58","Calaveras","CA",2013,44352,"Number of persons",0
"59","Calaveras","CA",2014,44277,"Number of persons",0
"60","Calaveras","CA",2015,44475,"Number of persons",0
"61","Colusa","CA",2014,21273,"Number of persons",0
"62","Colusa","CA",2013,21329,"Number of persons",0
"63","Colusa","CA",2012,21337,"Number of persons",0
"64","Colusa","CA",2011,21349,"Number of persons",0
"65","Colusa","CA",2010,21442,"Number of persons",0
"66","Colusa","CA",2009,21250,"Number of persons",0
"67","Colusa","CA",2008,21134,"Number of persons",0
"68","Colusa","CA",2007,21075,"Number of persons",0
"69","Colusa","CA",2006,20890,"Number of persons",0
"70","Colusa","CA",2005,20540,"Number of persons",0
"71","Colusa","CA",2004,20207,"Number of persons",0
"72","Colusa","CA",2015,21353,"Number of persons",0
"73","Contra Costa","CA",2013,1097115,"Number of persons",0
"74","Contra Costa","CA",2014,1113790,"Number of persons",0
"75","Contra Costa","CA",2015,1130570,"Number of persons",0
"76","Contra Costa","CA",2004,992424,"Number of persons",0
"77","Contra Costa","CA",2005,999013,"Number of persons",0
"78","Contra Costa","CA",2006,1000834,"Number of persons",0
"79","Contra Costa","CA",2007,1009152,"Number of persons",0
"80","Contra Costa","CA",2008,1023344,"Number of persons",0
"81","Contra Costa","CA",2009,1037890,"Number of persons",0
"82","Contra Costa","CA",2010,1052800,"Number of persons",0
"83","Contra Costa","CA",2011,1066804,"Number of persons",0
"84","Contra Costa","CA",2012,1080073,"Number of persons",0
"85","Del Norte","CA",2013,27736,"Number of persons",0
"86","Del Norte","CA",2014,27074,"Number of persons",0
"87","Del Norte","CA",2015,27065,"Number of persons",0
"88","Del Norte","CA",2004,27950,"Number of persons",0
"89","Del Norte","CA",2005,28281,"Number of persons",0
"90","Del Norte","CA",2006,28211,"Number of persons",0
"91","Del Norte","CA",2007,28415,"Number of persons",0
"92","Del Norte","CA",2008,28496,"Number of persons",0
"93","Del Norte","CA",2009,28599,"Number of persons",0
"94","Del Norte","CA",2010,28562,"Number of persons",0
