GeoName,Year,DataValue,Unit,Multiplier
"Autauga, AL",2013,35364,Dollars,0
"Autauga, AL",2014,36347,Dollars,0
"Autauga, AL",2015,38130,Dollars,0
"Autauga, AL",2004,27745,Dollars,0
"Autauga, AL",2005,29004,Dollars,0
"Autauga, AL",2006,29942,Dollars,0
"Autauga, AL",2007,31665,Dollars,0
"Autauga, AL",2008,33245,Dollars,0
"Autauga, AL",2009,32986,Dollars,0
"Autauga, AL",2010,33686,Dollars,0
"Autauga, AL",2011,34435,Dollars,0
"Autauga, AL",2012,35161,Dollars,0
"Baldwin, AL",2013,38428,Dollars,0
"Baldwin, AL",2014,39598,Dollars,0
"Baldwin, AL",2015,41502,Dollars,0
"Baldwin, AL",2004,30671,Dollars,0
"Baldwin, AL",2005,32510,Dollars,0
"Baldwin, AL",2006,34976,Dollars,0
"Baldwin, AL",2007,36215,Dollars,0
"Baldwin, AL",2008,36220,Dollars,0
"Baldwin, AL",2009,35363,Dollars,0
"Baldwin, AL",2010,36797,Dollars,0
"Baldwin, AL",2011,38046,Dollars,0
"Baldwin, AL",2012,38307,Dollars,0
"Barbour, AL",2004,22652,Dollars,0
"Barbour, AL",2005,23736,Dollars,0
"Barbour, AL",2006,24647,Dollars,0
"Barbour, AL",2007,25475,Dollars,0
"Barbour, AL",2008,25822,Dollars,0
"Barbour, AL",2009,26217,Dollars,0
"Barbour, AL",2010,27743,Dollars,0
"Barbour, AL",2011,27981,Dollars,0
"Barbour, AL",2012,27759,Dollars,0
"Barbour, AL",2013,29422,Dollars,0
"Barbour, AL",2014,29436,Dollars,0
"Barbour, AL",2015,31024,Dollars,0
"Bibb, AL",2013,27116,Dollars,0
"Bibb, AL",2014,27859,Dollars,0
"Bibb, AL",2015,28760,Dollars,0
"Bibb, AL",2004,20831,Dollars,0
"Bibb, AL",2005,21273,Dollars,0
"Bibb, AL",2006,22655,Dollars,0
"Bibb, AL",2007,24054,Dollars,0
"Bibb, AL",2008,24950,Dollars,0
"Bibb, AL",2009,23779,Dollars,0
"Bibb, AL",2010,25072,Dollars,0
"Bibb, AL",2011,25877,Dollars,0
"Bibb, AL",2012,26914,Dollars,0
"Blount, AL",2004,23641,Dollars,0
"Blount, AL",2005,24538,Dollars,0
"Blount, AL",2006,24862,Dollars,0
"Blount, AL",2007,26576,Dollars,0
"Blount, AL",2008,27855,Dollars,0
"Blount, AL",2009,27539,Dollars,0
"Blount, AL",2010,27914,Dollars,0
"Blount, AL",2011,28365,Dollars,0
"Blount, AL",2012,29727,Dollars,0
"Blount, AL",2013,30033,Dollars,0
"Blount, AL",2014,31309,Dollars,0
"Blount, AL",2015,32469,Dollars,0
"Bullock, AL",2013,24545,Dollars,0
"Bullock, AL",2014,23800,Dollars,0
"Bullock, AL",2015,24955,Dollars,0
"Bullock, AL",2004,18098,Dollars,0
"Bullock, AL",2005,18293,Dollars,0
"Bullock, AL",2006,20107,Dollars,0
"Bullock, AL",2007,20924,Dollars,0
"Bullock, AL",2008,23144,Dollars,0
"Bullock, AL",2009,23831,Dollars,0
