"","County","State","Year","Income_per_Capita","Unit","Multiplier"
"1","Alameda","CA",2013,54131,"Dollars",0
"2","Alameda","CA",2014,57009,"Dollars",0
"3","Alameda","CA",2015,61618,"Dollars",0
"4","Alameda","CA",2004,41472,"Dollars",0
"5","Alameda","CA",2005,42921,"Dollars",0
"6","Alameda","CA",2006,46093,"Dollars",0
"7","Alameda","CA",2007,47750,"Dollars",0
"8","Alameda","CA",2008,48349,"Dollars",0
"9","Alameda","CA",2009,45893,"Dollars",0
"10","Alameda","CA",2010,47625,"Dollars",0
"11","Alameda","CA",2011,50432,"Dollars",0
"12","Alameda","CA",2012,52296,"Dollars",0
"13","Alpine","CA",2004,32589,"Dollars",0
"14","Alpine","CA",2005,33584,"Dollars",0
"15","Alpine","CA",2006,32627,"Dollars",0
"16","Alpine","CA",2007,35410,"Dollars",0
"17","Alpine","CA",2008,37726,"Dollars",0
"18","Alpine","CA",2009,38420,"Dollars",0
"19","Alpine","CA",2010,41867,"Dollars",0
"20","Alpine","CA",2011,54040,"Dollars",0
"21","Alpine","CA",2012,56293,"Dollars",0
"22","Alpine","CA",2013,54549,"Dollars",0
"23","Alpine","CA",2014,61368,"Dollars",0
"24","Alpine","CA",2015,63924,"Dollars",0
"25","Amador","CA",2004,29774,"Dollars",0
"26","Amador","CA",2005,29818,"Dollars",0
"27","Amador","CA",2006,31468,"Dollars",0
"28","Amador","CA",2007,32783,"Dollars",0
"29","Amador","CA",2008,33890,"Dollars",0
"30","Amador","CA",2009,33042,"Dollars",0
"31","Amador","CA",2010,34327,"Dollars",0
"32","Amador","CA",2011,34847,"Dollars",0
"33","Amador","CA",2012,35633,"Dollars",0
"34","Amador","CA",2013,36375,"Dollars",0
"35","Amador","CA",2014,37936,"Dollars",0
"36","Amador","CA",2015,39764,"Dollars",0
"37","Butte","CA",2014,36603,"Dollars",0
"38","Butte","CA",2013,35368,"Dollars",0
"39","Butte","CA",2012,34536,"Dollars",0
"40","Butte","CA",2011,33669,"Dollars",0
