"","County","State","Year","Income_per_Capita","Unit","Multiplier"
"1","Alamosa","CO",2013,31054,"Dollars",0
"2","Alamosa","CO",2014,32457,"Dollars",0
"3","Alamosa","CO",2015,34224,"Dollars",0
"4","Alamosa","CO",2004,24335,"Dollars",0
"5","Alamosa","CO",2005,25409,"Dollars",0
"6","Alamosa","CO",2006,25976,"Dollars",0
"7","Alamosa","CO",2007,27561,"Dollars",0
"8","Alamosa","CO",2008,29061,"Dollars",0
"9","Alamosa","CO",2009,29036,"Dollars",0
"10","Alamosa","CO",2010,28891,"Dollars",0
"11","Alamosa","CO",2011,30315,"Dollars",0
"12","Alamosa","CO",2012,30402,"Dollars",0
"13","Arapahoe","CO",2013,49269,"Dollars",0
"14","Arapahoe","CO",2014,52522,"Dollars",0
"15","Arapahoe","CO",2015,54025,"Dollars",0
"16","Arapahoe","CO",2004,40522,"Dollars",0
"17","Arapahoe","CO",2005,41382,"Dollars",0
"18","Arapahoe","CO",2006,44482,"Dollars",0
"19","Arapahoe","CO",2007,45922,"Dollars",0
"20","Arapahoe","CO",2008,45544,"Dollars",0
"21","Arapahoe","CO",2009,42227,"Dollars",0
"22","Arapahoe","CO",2010,43121,"Dollars",0
"23","Arapahoe","CO",2011,48044,"Dollars",0
"24","Arapahoe","CO",2012,49325,"Dollars",0
"25","Archuleta","CO",2013,34678,"Dollars",0
"26","Archuleta","CO",2014,38177,"Dollars",0
"27","Archuleta","CO",2015,40281,"Dollars",0
"28","Archuleta","CO",2004,24565,"Dollars",0
"29","Archuleta","CO",2005,26549,"Dollars",0
"30","Archuleta","CO",2006,29026,"Dollars",0
"31","Archuleta","CO",2007,30542,"Dollars",0
"32","Archuleta","CO",2008,32015,"Dollars",0
"33","Archuleta","CO",2009,30502,"Dollars",0
"34","Archuleta","CO",2010,30535,"Dollars",0
"35","Archuleta","CO",2011,33096,"Dollars",0
"36","Archuleta","CO",2012,33605,"Dollars",0
"37","Baca","CO",2004,26459,"Dollars",0
"38","Baca","CO",2005,28703,"Dollars",0
"39","Baca","CO",2006,24523,"Dollars",0
"40","Baca","CO",2007,30653,"Dollars",0
"41","Baca","CO",2008,33024,"Dollars",0
"42","Baca","CO",2009,37160,"Dollars",0
"43","Baca","CO",2010,38398,"Dollars",0
"44","Baca","CO",2011,42719,"Dollars",0
"45","Baca","CO",2012,35737,"Dollars",0
"46","Baca","CO",2013,43032,"Dollars",0
"47","Baca","CO",2014,37647,"Dollars",0
"48","Baca","CO",2015,37796,"Dollars",0
"49","Bent","CO",2010,21723,"Dollars",0
"50","Bent","CO",2009,22212,"Dollars",0
"51","Bent","CO",2008,23725,"Dollars",0
"52","Bent","CO",2007,23759,"Dollars",0
"53","Bent","CO",2006,20881,"Dollars",0
