"","County","State","Year","Population","Unit","Multiplier"
"1","Alamosa","CO",2004,15217,"Number of persons",0
"2","Alamosa","CO",2005,15236,"Number of persons",0
"3","Alamosa","CO",2006,15196,"Number of persons",0
"4","Alamosa","CO",2007,15180,"Number of persons",0
"5","Alamosa","CO",2008,15300,"Number of persons",0
"6","Alamosa","CO",2009,15289,"Number of persons",0
"7","Alamosa","CO",2010,15519,"Number of persons",0
"8","Alamosa","CO",2011,15735,"Number of persons",0
"9","Alamosa","CO",2012,15723,"Number of persons",0
"10","Alamosa","CO",2013,15848,"Number of persons",0
"11","Alamosa","CO",2014,15877,"Number of persons",0
"12","Alamosa","CO",2015,15982,"Number of persons",0
"13","Arapahoe","CO",2013,608322,"Number of persons",0
"14","Arapahoe","CO",2014,618665,"Number of persons",0
"15","Arapahoe","CO",2015,630411,"Number of persons",0
"16","Arapahoe","CO",2004,518971,"Number of persons",0
"17","Arapahoe","CO",2005,524466,"Number of persons",0
"18","Arapahoe","CO",2006,531619,"Number of persons",0
"19","Arapahoe","CO",2007,542039,"Number of persons",0
"20","Arapahoe","CO",2008,552461,"Number of persons",0
"21","Arapahoe","CO",2009,563161,"Number of persons",0
"22","Arapahoe","CO",2010,575067,"Number of persons",0
"23","Arapahoe","CO",2011,586147,"Number of persons",0
"24","Arapahoe","CO",2012,596529,"Number of persons",0
"25","Archuleta","CO",2013,12008,"Number of persons",0
"26","Archuleta","CO",2014,11958,"Number of persons",0
"27","Archuleta","CO",2015,12047,"Number of persons",0
"28","Archuleta","CO",2004,11266,"Number of persons",0
"29","Archuleta","CO",2005,11496,"Number of persons",0
"30","Archuleta","CO",2006,11937,"Number of persons",0
"31","Archuleta","CO",2007,12262,"Number of persons",0
"32","Archuleta","CO",2008,12250,"Number of persons",0
"33","Archuleta","CO",2009,12169,"Number of persons",0
"34","Archuleta","CO",2010,12032,"Number of persons",0
"35","Archuleta","CO",2011,11944,"Number of persons",0
"36","Archuleta","CO",2012,11992,"Number of persons",0
"37","Baca","CO",2014,3556,"Number of persons",0
"38","Baca","CO",2013,3633,"Number of persons",0
"39","Baca","CO",2012,3706,"Number of persons",0
"40","Baca","CO",2011,3770,"Number of persons",0
"41","Baca","CO",2010,3805,"Number of persons",0
"42","Baca","CO",2009,3767,"Number of persons",0
"43","Baca","CO",2008,3806,"Number of persons",0
"44","Baca","CO",2007,3866,"Number of persons",0
"45","Baca","CO",2006,3933,"Number of persons",0
"46","Baca","CO",2005,3997,"Number of persons",0
"47","Baca","CO",2004,4064,"Number of persons",0
"48","Baca","CO",2015,3518,"Number of persons",0
"49","Bent","CO",2009,6425,"Number of persons",0
"50","Bent","CO",2010,6508,"Number of persons",0
"51","Bent","CO",2011,6464,"Number of persons",0
"52","Bent","CO",2012,5915,"Number of persons",0
"53","Bent","CO",2013,5851,"Number of persons",0
"54","Bent","CO",2014,5944,"Number of persons",0
"55","Bent","CO",2015,6045,"Number of persons",0
"56","Bent","CO",2004,6180,"Number of persons",0
"57","Bent","CO",2005,6118,"Number of persons",0
"58","Bent","CO",2006,6012,"Number of persons",0
"59","Bent","CO",2007,5715,"Number of persons",0
"60","Bent","CO",2008,5962,"Number of persons",0
"61","Chaffee","CO",2004,17047,"Number of persons",0
"62","Chaffee","CO",2005,17105,"Number of persons",0
"63","Chaffee","CO",2006,17087,"Number of persons",0
"64","Chaffee","CO",2007,17377,"Number of persons",0
"65","Chaffee","CO",2008,17573,"Number of persons",0
"66","Chaffee","CO",2009,17852,"Number of persons",0
"67","Chaffee","CO",2010,17785,"Number of persons",0
"68","Chaffee","CO",2011,17915,"Number of persons",0
"69","Chaffee","CO",2012,17947,"Number of persons",0
"70","Chaffee","CO",2013,18060,"Number of persons",0
"71","Chaffee","CO",2014,18058,"Number of persons",0
"72","Chaffee","CO",2015,18121,"Number of persons",0
"73","Cheyenne","CO",2013,1858,"Number of persons",0
"74","Cheyenne","CO",2014,1820,"Number of persons",0
"75","Cheyenne","CO",2015,1795,"Number of persons",0
"76","Cheyenne","CO",2004,1981,"Number of persons",0
"77","Cheyenne","CO",2005,1939,"Number of persons",0
"78","Cheyenne","CO",2006,1912,"Number of persons",0
"79","Cheyenne","CO",2007,1863,"Number of persons",0
"80","Cheyenne","CO",2008,1881,"Number of persons",0
"81","Cheyenne","CO",2009,1843,"Number of persons",0
"82","Cheyenne","CO",2010,1832,"Number of persons",0
"83","Cheyenne","CO",2011,1855,"Number of persons",0
"84","Cheyenne","CO",2012,1857,"Number of persons",0
"85","Clear Creek","CO",2013,8969,"Number of persons",0
"86","Clear Creek","CO",2014,9051,"Number of persons",0
"87","Clear Creek","CO",2015,9154,"Number of persons",0
"88","Clear Creek","CO",2004,9148,"Number of persons",0
"89","Clear Creek","CO",2005,9150,"Number of persons",0
"90","Clear Creek","CO",2006,9042,"Number of persons",0
"91","Clear Creek","CO",2007,9152,"Number of persons",0
"92","Clear Creek","CO",2008,9138,"Number of persons",0
"93","Clear Creek","CO",2009,8994,"Number of persons",0
"94","Clear Creek","CO",2010,9080,"Number of persons",0
"95","Clear Creek","CO",2011,8990,"Number of persons",0
"96","Clear Creek","CO",2012,8978,"Number of persons",0
"97","Conejos","CO",2004,8353,"Number of persons",0
"98","Conejos","CO",2005,8337,"Number of persons",0
"99","Conejos","CO",2006,8256,"Number of persons",0
"100","Conejos","CO",2007,8217,"Number of persons",0
"101","Conejos","CO",2008,8200,"Number of persons",0
"102","Conejos","CO",2009,8140,"Number of persons",0
"103","Conejos","CO",2010,8294,"Number of persons",0
"104","Conejos","CO",2011,8204,"Number of persons",0
"105","Conejos","CO",2012,8091,"Number of persons",0
"106","Conejos","CO",2013,7975,"Number of persons",0
"107","Conejos","CO",2014,7937,"Number of persons",0
"108","Conejos","CO",2015,7710,"Number of persons",0
"109","Costilla","CO",2004,3656,"Number of persons",0
"110","Costilla","CO",2005,3562,"Number of persons",0
"111","Costilla","CO",2006,3571,"Number of persons",0
"112","Costilla","CO",2007,3567,"Number of persons",0
"113","Costilla","CO",2008,3532,"Number of persons",0
"114","Costilla","CO",2009,3481,"Number of persons",0
"115","Costilla","CO",2010,3519,"Number of persons",0
"116","Costilla","CO",2011,3591,"Number of persons",0
"117","Costilla","CO",2012,3514,"Number of persons",0
"118","Costilla","CO",2013,3417,"Number of persons",0
"119","Costilla","CO",2014,3398,"Number of persons",0
"120","Costilla","CO",2015,3376,"Number of persons",0
"121","Crowley","CO",2004,5720,"Number of persons",0
"122","Crowley","CO",2005,5677,"Number of persons",0
"123","Crowley","CO",2006,5886,"Number of persons",0
"124","Crowley","CO",2007,6015,"Number of persons",0
"125","Crowley","CO",2008,5947,"Number of persons",0
"126","Crowley","CO",2009,5797,"Number of persons",0
"127","Crowley","CO",2010,5864,"Number of persons",0
"128","Crowley","CO",2011,5908,"Number of persons",0
"129","Crowley","CO",2012,5508,"Number of persons",0
"130","Crowley","CO",2013,5409,"Number of persons",0
"131","Crowley","CO",2014,5689,"Number of persons",0
"132","Crowley","CO",2015,5731,"Number of persons",0
"133","Custer","CO",2013,4132,"Number of persons",0
"134","Custer","CO",2014,4170,"Number of persons",0
"135","Custer","CO",2015,4222,"Number of persons",0
"136","Custer","CO",2004,3911,"Number of persons",0
"137","Custer","CO",2005,3989,"Number of persons",0
"138","Custer","CO",2006,3994,"Number of persons",0
"139","Custer","CO",2007,4112,"Number of persons",0
"140","Custer","CO",2008,4107,"Number of persons",0
"141","Custer","CO",2009,4190,"Number of persons",0
"142","Custer","CO",2010,4268,"Number of persons",0
"143","Custer","CO",2011,4175,"Number of persons",0
"144","Custer","CO",2012,4130,"Number of persons",0
"145","Delta","CO",2004,29305,"Number of persons",0
"146","Delta","CO",2005,29389,"Number of persons",0
"147","Delta","CO",2006,29789,"Number of persons",0
"148","Delta","CO",2007,30121,"Number of persons",0
"149","Delta","CO",2008,30712,"Number of persons",0
"150","Delta","CO",2009,31156,"Number of persons",0
"151","Delta","CO",2010,30861,"Number of persons",0
"152","Delta","CO",2011,30416,"Number of persons",0
"153","Delta","CO",2012,30505,"Number of persons",0
"154","Delta","CO",2013,30396,"Number of persons",0
"155","Delta","CO",2014,30034,"Number of persons",0
"156","Delta","CO",2015,30000,"Number of persons",0
"157","Denver","CO",2013,644132,"Number of persons",0
"158","Denver","CO",2014,657678,"Number of persons",0
"159","Denver","CO",2015,674625,"Number of persons",0
"160","Denver","CO",2004,550756,"Number of persons",0
"161","Denver","CO",2005,551691,"Number of persons",0
"162","Denver","CO",2006,556895,"Number of persons",0
"163","Denver","CO",2007,564395,"Number of persons",0
"164","Denver","CO",2008,575721,"Number of persons",0
"165","Denver","CO",2009,589011,"Number of persons",0
"166","Denver","CO",2010,602644,"Number of persons",0
"167","Denver","CO",2011,618358,"Number of persons",0
"168","Denver","CO",2012,631479,"Number of persons",0
"169","Dolores","CO",2013,2105,"Number of persons",0
